"Table 5.29: Cost estimate of minor irrigation-related proposals with locations","","","","","",""
"GND No","Name of the minor irrigation","Location N","Location E","Observed problems","Description","Amount  LKR"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"481 D","නාලගම පල්ලෙ ඇල Nalagama Palle Ela","7.122266","80.808345","Canal is not concrete lined (L-750m)","Canals reservation protection by concrete lining For 125mm thick, 0.5m wide and 0.4m high canal -double banking","2,569,580"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"481 D","අලවතු කනත ඇල Alawathu Kanatha Ela","7.114274","80.799269","Canal is not concrete lined (L-600m)","Canals reservation protection by concrete lining for 100mm thick, 0.3m wide and 0.3m high canal -double banking","1,005,567"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"481 D","උඩපංගුව ඇල Udapanguwa canal","7.113801","80.800575","Canal seepages to the D/S side (L-500m)","Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking","1,059,955"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"481 D","Jambygahapitiya anicut","7.113211","80.800739","No anicut is available","Site preparation & other miscellaneous works","650,000"
,,,,,"Construction of 8.0m long x 1.2m height anicut with 02 nos x 0.9m x 1.2m openings, supplying of 3\" thick CL I timber planks for each opening, supplying and fixing of 9\" Dia CI gate inclusive of all arrangements",
,,,,,"Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",
"481 D","හත්බෑය ඇල Hathbeya canal","7.109415","80.801951","Canal is not concrete lined (L-400m)","Canals reservation protection by concrete lining for 100mm thick, 0.3m wide and 0.3m high canal -double banking","1,042,486"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"482","උඩවල්ලිවල අමුණ Udawalliwala anicut","7.138335","80.782179","Water cannot be stored adequately","Supplying and fixing T.S Dowels spliced, and dove tailed with wedge at one end 5/8\" Dia, 700 mm long boring holes, 350mm depth in fixing","116,600"
,,,,,"1:3:6 (1 1/2\") Cement concrete, hand mixing and placing",
,,,,,"Shuttering in 12 mm (1/2\") thick Plywood sheet and 2\"x2\" joists",
,,,,,"Supplying and fixing Anicut planks form special class timber including fixing of steel hooks (3\"x6\") Plank & applying hot tar",
,,,,,"Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",
"482","උඩවල්ලිවල ඇල Udawalliwala canal","7.138345","80.782215","Canal seepages to the D/S side","Demolishing dilapidated lining sections","545,279"
,,,,,"Canals reservation protection by concrete lining for 100mm thick, 0.3m wide and 0.3m high canal -double banking",
,,,,,"1/2\" thick 1:3 cement mortar plastering to prevent leakages in lining",
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"482","Medawalliwala anicut","7.136922","80.783676","Temporary anicut is available","Demolishing temporary structure","812,500"
,,,,,"Construction of 10.0m long x 1.2m height anicut with 02 nos x 0.9m x 1.2m openings, supplying of 3\" thick CL I timber planks for each opening, supplying and fixing of 9\" Dia CI gate inclusive of all arrangements",
,,,,,"Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",
,,,,,"Vegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of compost manure, NPK fertilizer and maintenance",
,,,,,"Miscellaneous",
"482","මැදවල්ලිවල ඇල Medawalliwala canal","7.136922","80.783676","Water cannot be delivered breaches of the canal","Construction of 24 m long 0.50m x 0.50m trough with 6 m spans each rested on piers (for canal bed elevated 1.8 m in average above the existing GL)","1,638,000"
"482","උඩ අස්වැද්දුම අමුණ Udaaswedduma anicut","7.139869","80.785814","No anicut is available","Site preparation & other miscellaneous works","715,000"
,,,,,"Construction of 8.0m long x 1.2m height anicut with 02 nos x 0.9m x 1.2m openings, supplying of 3\" thick CL I timber planks for each opening, supplying and fixing of 9\" Dia CI gate inclusive of all arrangements",
,,,,,"Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",
,,,,,"Vegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of compost manure, NPK fertilizer and maintenance",
"482","උඩ අස්වැද්දුම ඇල Udaaswadduma canal","7.139869","80.785814","• Canal seepages to the D/S side• Anicut is not adequate to distribute water properly","Improvements to the existing anicut","586,837"
,,,,,"Canals reservation protection by concrete lining for 100mm thick, 0.3m wide and 0.3m high canal -double banking",
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
,,,,,"Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",
"482","Kahatadeniya pita Ela","7.140852","80.785648","Canal is silted","Canals reservation protection by concrete lining For 125mm thick, 0.5m wide and 0.4m high canal -double banking","1,454,554"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"482 A","Kanketharawa canal","7.130509","80.781714","Canal erosion towards the Down Stream (L-200m)","Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking","1,113,840"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
,,,,,"Construction of 1:3:6 (1 1/2\") ct concrete retaining wall (height 0.9m, top width 0.15m, 0.45m high steps x 02, each of 0.15m step width & bottom width 0.45m)",
"482 A","බෝපිටියේ ඇල Bopitiye canal","7.129503","80.780118","Canal erosion towards the Down Stream","Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance","238,615"
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"482 A","වාලමුල්ල ඇල (මහ පවුර) Walamulla canal (Maha Pawura)","7.132995","80.778627","The banks near canal are eroded and canal erosion has occurred towards the D/S side","Canals reservation protection by concrete lining For 125mm thick, 0.5m wide and 0.4m high canal -double banking","2,318,386"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
,,,,,"Construction of 2.1m high RR masonry wall (with section 0.60x0.75, 0.45x0.75, 0.30x0.60) over 0.90m width x 0.15m thick screed concrete, plastering with 1:3 cement mortar and back filling",
"482 A","පන් වත්ත ඇල Pan watta Ela","7.135385","80.784652","Canal erosion towards the Down Stream","Construction of 2.1m high RR masonry wall (with section 0.60x0.75, 0.45x0.75, 0.30x0.60) over 0.90m width x 0.15m thick screed concrete, plastering with 1:3 cement mortar and back filling","2,292,375"
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"482 A","ගාල ගාව ඇල Gaala Gawa Ela","7.129497","80.777878","Canal is not concrete lined (L-200m)","Canals reservation protection by concrete lining for 100mm thick, 0.3m wide and 0.3m high canal -double banking","335,188"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"482 A","හුම්මුන්තරාව ඇල Hummantharawa Ela","7.135587","80.785352","The canal is not in the operational condition (L-100m)","Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking","235,161"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"482 B","Hummantharawa anicut 2","7.135171","80.78586","No anicut is available","Site preparation & other miscellaneous works","715,000"
,,,,,"Construction of 8.0m long x 1.2m height anicut with 02 nos x 0.9m x 1.2m openings, supplying of 3\" thick CL I timber planks for each opening, supplying and fixing of 9\" Dia CI gate inclusive of all arrangements",
,,,,,"Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",
,,,,,"Vegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of compost manure, NPK fertilizer and maintenance",
"482 B","අරාවේ අමුණ Arawe Anicut","7.134637","80.784841","No anicut is available","Site preparation & other miscellaneous works","715,000"
,,,,,"Construction of 8.0m long x 1.2m height anicut with 02 nos x 0.9m x 1.2m openings, supplying of 3\" thick CL I timber planks for each opening, supplying and fixing of 9\" Dia CI gate inclusive of all arrangements",
,,,,,"Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",
,,,,,"Vegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of compost manure, NPK fertilizer and maintenance",
"482 B","අරාවේ ඇල Arawe Canal","7.13454","80.784748","Canal seepages to the D/S side","Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking","235,162"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"482 B","දේදුණු ඇල Dedunu canal","7.131677","80.787687","Water is delivered through pipes due to the canal is not in the operational condition","Canals reservation protection by concrete lining for 100mm thick, 0.3m wide and 0.3m high canal -double banking","205,660"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"482 B","මුල්ලේවත්ත ඇල Mullewatta canal","7.135416","80.785153","Canal erosion towards the Down Stream","Construction of 48 m long 0.50m x 0.50m trough with 6 m spans each rested on piers (for canal bed elevated 0.9 m in average above the existing GL)","3,029,000"
"482 B","ගල්පොත්ත උහන ඇල Galpotta uhana canal","7.13505","80.784853","The canal is not in the operational condition","Canals reservation protection by concrete lining for 100mm thick, 0.3m wide and 0.3m high canal -double banking","491,416"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"482/C","Irrigation main canal","7.141601","80.779637","The concrete band of the canal is eroded (L-8m) due to the bank erosion in upper areas","Supplying and fixing T.S Dowels spliced and dove tailed with wedge at one end 5/8\" Dia, 700mm long boring holes, 350mm depth in fixingShuttering in 20mm (3/4\") thick Plywood sheet and 2\"x2\" joists1:3:6 (1 1/2\") Cement concrete, hand mixing and placingVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","110,306"
"483 A","මා ඇල අතුරු ඇල Maa Ela sub canal","7.127918","80.783328","The water of the canal overflows (L-200m)","Canals reservation protection by concrete lining For 125mm thick, 0.5m wide and 0.4m high canal -double banking","1,514,208"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"483 A","හපුගහපට්ටිය මහ ඇල Hapugahapattiya main canal","7.126168","80.780868","Water is overflowed towards the lands on both side (L-250m)","Canals reservation protection by concrete lining For 125mm thick, 0.5m wide and 0.4m high canal -double banking","1,573,862"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"483","උඩඅරාව ඇල Udaarawa canal","7.124214","80.784935","Canal erosion towards the D/S and seepages","Construction of 1.5m high x 0.15m thick RCC wall (0.8m base)","1,302,422"
,,,,,"Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking",
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"483","උඩඅරාව ඇල Udaarawa canal","7.124135","80.785087","Canal erosion towards the Down Stream","Construction of 2.1m high RR masonry wall (with section 0.60x0.75, 0.45x0.75, 0.30x0.60) over 0.90m width x 0.15m thick screed concrete, plastering with 1:3 cement mortar and back filling","199,953"
,,,,,"Excavation earth from borrow and forming Tank Bund or Roadway including spreading, trimming and ramming Haul (50-100) ft Lift (0-5) ft",
,,,,,"Earth compaction",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"483","මැද්ද අරාව ඇල Medda Arawa canal","7.12497","80.786771","Old canal is eroded towards the D/S and canal get eroded","Canals reservation protection by concrete lining for 100mm thick, 0.3m wide and 0.3m high canal -double banking","294,850"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"483","දුල්වල ඇල Dulwala canal","7.126602","80.786692","• Water is distributed by using pipes (L-40m) • Seepage losses towards the downstream (L-150m)","Canals reservation protection by concrete lining For 125mm thick, 0.4m wide and 0.5m high canal -single banking.Construction of 42 m long 0.50m x 0.50m trough with 6 m spans each rested on piers (for canal bed elevated 1.5 m in average above the existing GL).Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months.Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","3,231,560"
"483","කොසුරුප්ප අමුණ Kosuruppa anicut","7.127075","80.786607","The dam near the anicut is landslided","Construction of 1.5m high x 0.15m thick RCC wall (0.8m base)","593,847"
,,,,,"Earth excavation and spreading",
,,,,,"Earth compaction",
,,,,,"Vegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of compost manure, NPK fertilizer and maintenance",
"484 C","පද්දරාව ඇල Paddarawa canal","7.13891","80.79408","Canal seepages to the D/S side","Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking","1,298,570"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"484 C","ලුණු මිද්දගේ ඇල Lunumiddage canal","7.138015","80.79589","Canal is silted","Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking","205,335"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"484 C","දෙමෝදර ඇල Demodara canal","7.137671","80.794893","Canal seepages to the D/S side","Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking","264,989"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"484 C","පුකෝව ඇල Pukowa canal","7.136713","80.798324","Canal seepages to the D/S side","Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking","324,643"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"484 A","පිහිල්මුල්ල ඇල Philmulla canal","7.138013","80.800043","The canal is overflowing, and it is difficult to supply water DS","Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking","410,670"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"484 A","අරාවේ ඇල Arawe canal","7.138572","80.802002","Water cannot be distributed towards the D/S side to canal erosion","Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking","410,670"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"484 A","Bogahakumbura Canal","7.138091","80.802356","Canal seepages to the D/S side","Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking","210,610"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"484-B","කරවුගහමුල ඇල Karawgahamula canal","7.142372","80.791791","Canal seepages to the D/S side","Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance","119,308"
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
