No,GND No.,Name of the minor irrigation,Location N,Location E,Observed problems,Description,Amount (LKR) 
46,481 D, Udapanguwa canal,7.113801,80.800575, Canal seepages to the D/S side (L-500m) ,"Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","815,350"
47,481 D,Jambygahapitiya anicut,7.113211,80.800739, No anicut is available,"Site preparation & other miscellaneous works
Construction of 8.0m long x 1.2m height anicut with 02 nos x 0.9m x 1.2m openings, supplying of 3"" thick CL I timber planks for each opening, supplying and fixing of 9"" Dia CI gate inclusive of all arrangements
Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","500,000"
48,481 D, Hathbeya canal,7.109415,80.801951, Canal is not concrete lined (L-400m) ,"Canals reservation protection by concrete lining for 100mm thick, 0.3m wide and 0.3m high canal -double banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","801,912"
49,482,Udawalliwala anicut,7.138335,80.782179,Water cannot be stored adequately ,"Supplying and fixing T.S Dowels spliced, and dove tailed with wedge at one end 5/8"" Dia, 700 mm long boring holes, 350mm depth in fixing
1:3:6 (1 1/2"") Cement concrete, hand mixing and placing
Shuttering in 12 mm (1/2"") thick Plywood sheet and 2""x2"" joists
Supplying and fixing Anicut planks form special class timber including fixing of steel hooks (3""x6"") Plank & applying hot tar
Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","89,692"
50,482,Udawalliwala canal,7.138345,80.782215,Canal seepages to the D/S side,"Demolishing dilapidated lining sections
Canals reservation protection by concrete lining for 100mm thick, 0.3m wide and 0.3m high canal -double banking
1/2"" thick 1:3 cement mortar plastering to prevent leakages in lining
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","419,445"
51,482,Medawalliwala anicut,7.136922,80.783676,Temporary anicut is available,"Demolishing temporary structure
Construction of 10.0m long x 1.2m height anicut with 02 nos x 0.9m x 1.2m openings, supplying of 3"" thick CL I timber planks for each opening, supplying and fixing of 9"" Dia CI gate inclusive of all arrangements
Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance
Vegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of compost manure, NPK fertilizer and maintenance
Miscellaneous","625,000"
52,482,Medawalliwala canal,7.136922,80.783676, Water cannot be delivered breaches of the canal,Construction of 24 m long 0.50m x 0.50m trough with 6 m spans each rested on piers (for canal bed elevated 1.8 m in average above the existing GL) ,"1,260,000"
53,482,Udaaswedduma anicut,7.139869,80.785814, No anicut is available,"Site preparation & other miscellaneous works
Construction of 8.0m long x 1.2m height anicut with 02 nos x 0.9m x 1.2m openings, supplying of 3"" thick CL I timber planks for each opening, supplying and fixing of 9"" Dia CI gate inclusive of all arrangements
Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance
Vegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of compost manure, NPK fertilizer and maintenance","550,000"
54,482,Udaaswadduma canal,7.139869,80.785814,"• Canal seepages to the D/S side
• Anicut is not adequate to distribute water properly","Improvements to the existing anicut
Canals reservation protection by concrete lining for 100mm thick, 0.3m wide and 0.3m high canal -double banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance
Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","451,413"
55,482,Kahatadeniya pita Ela,7.140852,80.785648,Canal is silted ,"Canals reservation protection by concrete lining For 125mm thick, 0.5m wide and 0.4m high canal -double banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","1,118,888"
56,482 A,Kanketharawa canal,7.130509,80.781714,Canal erosion towards the Down Stream (L-200m) ,"Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance
Construction of 1:3:6 (1 1/2"") ct concrete retaining wall (height 0.9m, top width 0.15m, 0.45m high steps x 02, each of 0.15m step width & bottom width 0.45m) ","856,800"
57,482 A,Bopitiye canal,7.129503,80.780118,Canal erosion towards the Down Stream,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","183,550"
58,482 A,Walamulla canal (Maha Pawura) ,7.132995,80.778627,The banks near canal are eroded and canal erosion has occurred towards the D/S side,"Canals reservation protection by concrete lining For 125mm thick, 0.5m wide and 0.4m high canal -double banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance
Construction of 2.1m high RR masonry wall (with section 0.60x0.75, 0.45x0.75, 0.30x0.60) over 0.90m width x 0.15m thick screed concrete, plastering with 1:3 cement mortar and back filling","1,783,374"
59,482 A,Pan watta Ela,7.135385,80.784652,Canal erosion towards the Down Stream,"Construction of 2.1m high RR masonry wall (with section 0.60x0.75, 0.45x0.75, 0.30x0.60) over 0.90m width x 0.15m thick screed concrete, plastering with 1:3 cement mortar and back filling
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","1,763,365"
60,482 A,Gaala Gawa Ela,7.129497,80.777878,Canal is not concrete lined (L-200m) ,"Canals reservation protection by concrete lining for 100mm thick, 0.3m wide and 0.3m high canal -double banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","257,837"
61,482 A,Hummantharawa Ela,7.135587,80.785352, The canal is not in the operational condition (L-100m) ,"Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","180,893"
62,482 B,Hummantharawa anicut 2,7.135171,80.78586,No anicut is available ,"Site preparation & other miscellaneous works
Construction of 8.0m long x 1.2m height anicut with 02 nos x 0.9m x 1.2m openings, supplying of 3"" thick CL I timber planks for each opening, supplying and fixing of 9"" Dia CI gate inclusive of all arrangements
Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance
Vegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of compost manure, NPK fertilizer and maintenance","550,000"
63,482 B,Arawe Anicut,7.134637,80.784841, No anicut is available ,"Site preparation & other miscellaneous works.
Construction of 8.0m long x 1.2m height anicut with 02 nos x 0.9m x 1.2m openings, supplying of 3"" thick CL I timber planks for each opening, supplying and fixing of 9"" Dia CI gate inclusive of all arrangements
Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance
Vegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of compost manure, NPK fertilizer and maintenance","550,000"
64,482 B,Arawe Canal,7.13454,80.784748,Canal seepages to the D/S side,"Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","180,894"
65,482 B,Dedunu canal,7.131677,80.787687, Water is delivered through pipes due to the canal is not in the operational condition,"Canals reservation protection by concrete lining for 100mm thick, 0.3m wide and 0.3m high canal -double banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","158,200"
66,482 B,Mullewatta canal,7.135416,80.785153, Canal erosion towards the Down Stream,Construction of 48 m long 0.50m x 0.50m trough with 6 m spans each rested on piers (for canal bed elevated 0.9 m in average above the existing GL) ,"2,330,000"
67,482 B,Galpotta uhana canal,7.13505,80.784853, The canal is not in the operational condition ,"Canals reservation protection by concrete lining for 100mm thick, 0.3m wide and 0.3m high canal -double banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","378,012"
68,482/C, Irrigation main canal,7.141601,80.779637, The concrete band of the canal is eroded (L-8m) due to the bank erosion in upper areas,"Supplying and fixing T.S Dowels spliced and dove tailed with wedge at one end 5/8"" Dia, 700mm long boring holes, 350mm depth in fixing
Shuttering in 20mm (3/4"") thick Plywood sheet and 2""x2"" joists
1:3:6 (1 1/2"") Cement concrete, hand mixing and placing
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","84,851"
69, 483 A,Maa Ela sub canal,7.127918,80.783328, The water of the canal overflows (L-200m) ,"Canals reservation protection by concrete lining For 125mm thick, 0.5m wide and 0.4m high canal -double banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","1,164,775"
70,483 A,Hapugahapattiya main canal,7.126168,80.780868,Water is overflowed towards the lands on both side (L-250m) ,"Canals reservation protection by concrete lining For 125mm thick, 0.5m wide and 0.4m high canal -double banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","1,210,663"
71,483,Udaarawa canal,7.124214,80.784935, Canal erosion towards the D/S and seepages,"Construction of 1.5m high x 0.15m thick RCC wall (0.8m base) 
Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","1,001,863"
72,483,Udaarawa canal,7.124135,80.785087,Canal erosion towards the Down Stream,"Construction of 2.1m high RR masonry wall (with section 0.60x0.75, 0.45x0.75, 0.30x0.60) over 0.90m width x 0.15m thick screed concrete, plastering with 1:3 cement mortar and back filling
Excavation earth from borrow and forming Tank Bund or Roadway including spreading, trimming and ramming Haul (50-100) ft Lift (0-5) ft
Earth compaction
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","153,810"
73,483,Medda Arawa canal,7.12497,80.786771,Old canal is eroded towards the D/S and canal get eroded,"Canals reservation protection by concrete lining for 100mm thick, 0.3m wide and 0.3m high canal -double banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","226,808"
74,483,Dulwala canal,7.126602,80.786692,"• Water is distributed by using pipes (L-40m)
• Seepage losses towards the downstream (L-150m) ","Canals reservation protection by concrete lining For 125mm thick, 0.4m wide and 0.5m high canal -single banking.
Construction of 42 m long 0.50m x 0.50m trough with 6 m spans each rested on piers (for canal bed elevated 1.5 m in average above the existing GL).
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months.
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","2,485,815"
75,483,Kosuruppa anicut,7.127075,80.786607,The dam near the anicut is landslided ,"Construction of 1.5m high x 0.15m thick RCC wall (0.8m base) 
Earth excavation and spreading
Earth compaction
Vegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of compost manure, NPK fertilizer and maintenance","456,805"
76,484 C,Paddarawa canal,7.13891,80.79408,Canal seepages to the D/S side,"Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","998,900"
77,484 C,Lunumiddage canal,7.138015,80.79589, Canal is silted ,"Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","157,950"
78,484 C, Demodara canal,7.137671,80.794893, Canal seepages to the D/S side,"Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","203,838"
79,484 C,Pukowa canal,7.136713,80.798324, Canal seepages to the D/S side,"Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","249,725"
80,484 A,Philmulla canal,7.138013,80.800043,"The canal is overflowing, and it is difficult to supply water DS","Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","315,900"
81,484 A,Arawe canal,7.138572,80.802002, Water cannot be distributed towards the D/S side to canal erosion,"Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","315,900"
82,484 A,Bogahakumbura Canal,7.138091,80.802356,Canal seepages to the D/S side,"Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","162,008"
83,484-B,Karawgahamula canal,7.142372,80.791791,Canal seepages to the D/S side,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","91,775"
84,484-B,Thalagahamula canal,7.139796,80.792787,Canal seepages to the D/S side,"Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","270,013"
85,484-B,Thotupala Canal 1 ,7.140332,80.793237,No anicut is available,"Construction of 4.0m long x 0.9m height anicut with 02 nos x 0.9m width openings, supplying of 3"" thick CL I timber planks for each opening, supplying and fixing of 9"" Dia CI gate inclusive of all arrangements","223,000"
86,484-B,Thotupala Canal 2,7.140385,80.793251,Water is overflowing from the canal,"Canals reservation protection by concrete lining for 100mm thick, 0.3m wide and 0.3m high canal -double banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","234,894"
87,484-B,Thotupala Canal 3 ,7.140076,80.793523, Canal seepages to the D/S side (L-20m) ,"Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","108,005"
88,484-B, Pathangamuwa canal (Galkotuwa canal) ,7.142823,80.795582, Seepage losses from the canal,"Clearing and Grubbing, Shrub and thorny jungle
Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance
Removing silt from canal bed depth up to 9"" and canal clearing ","501,834"
89,484,Othenna canal,7.128029,80.801967,Canal seepages to the D/S side,"Canals reservation protection by concrete lining For 125mm thick, 0.4m wide and 0.5m high canal -single banking
Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","713,275"
