"Table 5.16: Cost estimate of domestic water source protection-related proposals","","","","","",""
"GND No","Name of Spring and place","N","E","Observation","Description","Amount  Rs"
"1150","Watershed area of Datriya lower division (belongs to Thundeniya GND yet use by Gampolawatta GND)","7.159561","80.592717","This land is located on the boundary of Thundeniya GND and Gampolawattha GND and borders privet lands.  Land is being illegally acquired because there are no boundaries.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","580,800"
,,,,,"Contingancies 10%",
"1149","Wickramabhahu Lake area","7.170383","80.583924","It borders privet lands.  Land is being illegally acquired because there are no boundaries.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","193,600"
,,,,,"Contingancies 10%",
"1154","Siddhartha foundation","7.167989","80.606463","This is kokka oya reserve area and borders privet lands.  Land is being illegally acquired because there are no boundaries.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","48,400"
,,,,,"Contingancies 10%",
"1154","Uda Iguruwatta catchment area","7.169269","80.611116","It borders privet lands.  Land is being illegally acquired because there are no boundaries.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","48,400"
,,,,,"Contingancies 10%",
"1146","Gommana reserve","7.165131","80.628049","There are large trees , but boundaries are not marked.  Land is being illegally acquired because there are no boundaries.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","193,600"
,,,,,"Contingancies 10%",
"1146","Ibban wewa reserve","7.172017","80.627984","There are large trees , but boundaries are not marked.  Land is being illegally acquired because there are no boundaries.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","1,355,200"
,,,,,"Contingancies 10%",
"1146","Samarakoon hena reserve","7.175464","80.62156","There are large trees , but boundaries are not marked.  Some parts of this reserve have been cleared and cultivated. Land is being illegally acquired because there are no boundaries.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","193,600"
,,,,,"Contingancies 10%",
"1146","Keppitiyawa reserve","7.176717","80.626189","There are large trees , but boundaries are not marked.  Land is being illegally acquired because there are no boundaries.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","387,200"
,,,,,"Contingancies 10%",
,,,,"Total",,"16,427,400"
