"Table 5.24: Time frame for implementation of minor irrigation proposals","","","","",""
"Name of the Irrigation System","N","E","Observation","Description","Amount  Rs"
"Canal of near the temple","7.319937","80.656076","The total length of the canal is about 200m, Existing Earthen canal.  some places. are in a very dilapidated condition. Water from this canal is used to grow paddy on an area of about 10 acre.","Construction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall MiscellaneousContigencies (10%)","1,061,500.00"
,,,,,
"Kottalkumbura yaya canal","7.313936","80.658159","The total length of the canal is about 200m, Existing Earthen canal.  some places. are in a very dilapidated condition. Water from this canal is used to grow paddy on an area of about 8 acre.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContigencies (10%)","1,050,500.00"
,,,,,
,,,,,
"Balagete yaya canal","7.314693","80.659087","The total length of the canal is about 200m, Existing Earthen canal.  some places. are in a very dilapidated condition. Water from this canal is used to grow paddy on an area of about 8 acre.","Construction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m gridMiscellaneousContigencies (10%)","434,500.00"
,,,,,
"Kolanwela yaye ela","7.317775","80.651342","The total length of the canal is about 800m, About 300m have been(500mm x 500mm)rectangular concreted. The balance part of the canal is earthen. Water from this canal is used to grow paddy on an area of about 10 acre","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContigencies (10%)","1,501,500.00"
,,,,,
,,,,,
"Kolanwela yaye ela No 2","7.321224","80.651612","The total length of the canal is about 400m, Existing Earthen canal. The canal breaks and water flows throug the fields at some places. are in a very dilapidated condition. Water from this canal is used to grow paddy on an area of about 8 acre.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContigencies (10%)","1,677,500.00"
,,,,,
"Kongahakumbura ela","7.320796","80.649184","The total length of the canal is about 500m, Existing Earthen canal.  some places. are in a very dilapidated condition. Water from this canal is used to grow paddy on an area of about 8 acre.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContigencies (10%)","1,540,000.00"
,,,,,
,,,,,
"Wadamalpanawa yaya ela","7.319972","80.654230","The total length of the canal is about1000m, Existing Earthen canal.  some places. are in a very dilapidated condition. Water from this canal is used to grow paddy on an area of about 5 acre.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContigencies (10%)","1,540,000.00"
,,,,,
"Kalapuraya","7.284808","80.676315","The total length of the canal is about700m, Existing Earthen canal.  some places. are in a very dilapidated condition. The water of this canal is not used for cultivation. Houses and wells get water damage during rainy sesion.At some places the concrete canal is about 1.5m deep.It is dangerous for near by residents.","Canals reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double bankingSupplying of cover slabsConstruction of 1.5m high 1:3:6 (40mm) cement concrete Retaining Wall MiscellaneousContigencies (10%)","1,402,500.00"
,,,,,
,,,,,
"Wawe gammadda ela","7.295187","80.675803","Existing Earthen canal .During the rainy season when too much water flows,some places are in a very dilapidated The total length of the canal is about 600m, Water from this canal is used to grow paddy on an area of about 13 acre","Construction of 2.0m high 1:3:6 (40mm) cement concrete Retaining Wall MiscellaneousContigencies (10%)","2,530,000.00"
,,,,,
"Wewegammedda pathahe ela","7.294082","80.674973","The total length of the canal is about 100m, About 50m have been(600mm x 600mm)rectangular concreted. But that destroyed balance part of the canal is earthen. Water from this canal is used to grow paddy on an area of about 6 acre","Demolish existing damages concrete and remove debris from siteCanal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingMiscellaneousContigencies (10%)","726,000.00"
,,,,,
,,,,,
"Polgaswela Kumburuyaya ela","7.294892","80.667735","Existing Earthen canal .During the rainy season when too much water flows,some places are in a very dilapidated The total length of the canal is about 1000m, Water from this canal is used to grow paddy on an area of about 18 acre","Construction of 2.0m high 1:3:6 (40mm) cement concrete Retaining Wall Construction of 03 Nos of Silt TrapsMiscellaneousContigencies (10%)","3,201,000.00"
,,,,,
"Mahawaththa south canal","7.295479","80.681552","The total length of the canal is about 800m, About 200m have been(600mm x 600mm) rectangular concreted. About 20m it is broken. In some places, the concrete has washed away from under it.  Water from this canal is used to grow paddy on an area of about 12 acres","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingConstruction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall Contigencies (10%)","1,335,400.00"
,,,,,
,,,,,
"Kalugala yaya canal","7.287820","80.677477","Existing is Earthen canal .During the rainy season when too much water flows, some places are in a very dilapidated The total length of the canal is about 600m, Water from this canal is used to grow paddy on an area of about 6 acres","Construction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall Contigencies (10%)","1,320,000.00"
,,,,,
"Kalugala yaya canal no 2","7.287701","80.679399","Existing is Earthen canal. During the rainy season when too much water flows, Bank erosion occurs The total length of the canal is about 450m, Water from this canal is used to grow paddy on an area of about 4 acres","Construction of 2.0m high 1:3:6 (40mm) cement concrete Retaining Wall Construction of 1.5m high 1:3:6 (40mm) cement concrete Retaining Wall Contigencies (10%)","1,496,000.00"
,,,,,
,,,,,
"Kalugala anicut and canal","7.287868","80.682916","Existing is Earthen canal. During the rainy season when too much water flows, Bank erosion occurs The total length of the canal is about 500m, Water from this canal is used to grow paddy on an area of about 6 acres","Construction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall Contigencies (10%)","1,320,000.00"
,,,,,
"Mahawaththagama  canal","7.292174","80.682808","The total length of the canal is about 750m, About 50m have been(600mm x 600mm) rectangular concreted. The balance part of the canal is earthen. Water from this canal is used to grow paddy on an area of about 8 acre","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContigencies (10%)","907,500.00"
,,,,,
,,,,,
"Rukathtanacanal","7.287291","80.681704","Existing Earthen canal. During the rainy season when too much water flows, Bank erosion occurs.About100m have been(1.200mm x 900mm)    rectangular concreted. The balance part of the canal is earthen. Water from this canal is used to grow paddy on an area of about 20 acre","Construction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContigencies (10%)","1,529,000.00"
,,,,,
"Galgodahinnayaya canal","7.293029","80.684964","The total length of the canal is about 800m, About 300m have been(450mm x 450mm) rectangular concreted. The balance part of the canal is earthen. Water from this canal is used to grow paddy on an area of about 8 acre","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContigencies (10%)","1,254,000.00"
,,,,,
,,,,,
"Galgodahinnayaya  left canal","7.293599","80.684220","The total length of the canal is about 800m, About 100m have been(600mm x 450mm) rectangular concreted. The balance part of the canal is earthen. Water from this canal is used to grow paddy on an area of about 8 acre","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContigencies (10%)","1,325,500.00"
,,,,,
"Puwak gaha kandura yaya","7.281817","80.692334","The total length of the canal is about 1000m, About 100m have been(600mm x 450mm) rectangular concreted. The balance part of the canal is earthen. During the rainy season when too much water flows,some places are in a very dilapidated. Because no cultivation is done with the  help of this canal.","Canal reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContigencies (10%)","1,644,500.00"
,,,,,
,,,,,
,,,,"Total","94,983,900.00"
