"Table 5.18: Time frame for implementing domestic water and water source protection","","","","","",""
"GND No","Name of the Irrigation System","N","E","Observation","Description","Amount  LKR"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"523A","Dikpela canal","7.07043","80.90643","Water supplied to 6 Acres of paddy. Total canal length is 300m. Remains as an earthen canal.","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","1,050,500"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"518D","Yamuna Canal","7.087967","80.937","Some parts of the canal are concreted","Canals reservation protection by concrete lining For 125mm thick, 0.5m wide and 0.4m high canal -double banking","1,697,850"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Construction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall",
,,,,,"Supplying of 450mm Dia x 2.44m long Hume Pipes",
,,,,,"Loading and Unloading 450mm diameter 2.44m Long HumePipes",
,,,,,"Laying & Jointing 300-450 mm Dia. Available Concrete Pipes and Collars (Cement, sand & water for jointing hume pipes paid Separately)",
,,,,,"Spreading, Leveling and Compacting Manually Using Standard Cast Iron Stamper or Equivalent and Filling in 150-225 mm Thick Layers (Loose Volume)",
,,,,,"Tidying up",
,,,,,"Contingencies 10%",
"518D","Paragaha arawa Canal","7.073968","80.93256","Existing Earthen canal","Canals reservation protection by concrete lining For 125mm thick, 0.5m wide and 0.4m high canal -double banking","1,094,500"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"525C","Uda kandura ela","7.04959","80.89831","Existing Earthen canal","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","1,952,500"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"525C","Udaliyadda ela","7.05181","80.89672","Existing Earthen canal ( The first 500 m flow with stones)","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","1,952,500"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"525C","Kande ela","7.04941","80.8982","Water supplied to 15 Acres of paddy. Some parts of the canal are concreted. (W=600mm, H=450mm)","Site preparation & setting out","3,344,000"
,,,,,"Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.",
,,,,,"Plywood form work including making, fixing & removing for structure -05 uses",
,,,,,"Cutting, Bending & Placing tor steel reinforcement bars",
,,,,,"1:3:6 (40mm) concrete with concrete mixer (volume batching)",
,,,,,"1:2:4 (20mm) concrete with concrete mixer (volume batching)",
,,,,,"Spreading, Leveling and Compacting Manually Using Standard Cast Iron Stamper or Equivalent and Filling in 150-225 mm Thick Layers (Loose Volume)",
,,,,,"Machine transport",
,,,,,"Tidying up",
,,,,,"Canals reservation protection by concrete lining For 125mm thick, 0.5m wide and 0.4m high canal -double banking",
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"525C","Kande ela anicut","7.0492","80.89754","Anicut should be made","Site preparation & setting out","1,793,000"
,,,,,"Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.",
,,,,,"Supplying and fixing M.S. dowels spliced and dovetailed with wedge at one end 16mm dia. And 600mm long, boring holes to 0.3m depth in fixing",
,,,,,"Plywood form work including making, fixing & removing for structure -05 uses",
,,,,,"Cutting, Bending & Placing tor steel reinforcement bars",
,,,,,"1:3:6 (40mm) concrete with concrete mixer (volume batching)",
,,,,,"1:2:4 (20mm) concrete with concrete mixer (volume batching)",
,,,,,"Providing sand bags for cofferdam",
,,,,,"Water Pump 2\" dia ( Without operator)",
,,,,,"Dry rubble packing (rubble size over 225mm) 5.0m long x 0.30m thk",
,,,,,"75mm tk. Stop planks (kumbuk ) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.",
,,,,,"Construction of 1.5m high 1:3:6 (40mm) cement concrete Retaining Wall",
,,,,,"Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)",
,,,,,"Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval",
,,,,,"Tidying up",
,,,,,"Contingencies 10%",
"525A","Mahee Ella canal","7.05606","80.8966","Existing Earthen canal","Construction of Anicut","1,853,500"
,,,,,"Site preparation & setting out",
,,,,,"Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.",
,,,,,"Supplying and fixing M.S. dowels spliced and dovetailed with wedge at one end 16mm dia. And 600mm long, boring holes to 0.3m depth in fixing",
,,,,,"Plywood form work including making, fixing & removing for structure -05 uses",
,,,,,"Cutting, Bending & Placing tor steel reinforcement bars",
,,,,,"1:3:6 (40mm) concrete with concrete mixer (volume batching)",
,,,,,"1:2:4 (20mm) concrete with concrete mixer (volume batching)",
,,,,,"Providing sand bags for cofferdam",
,,,,,"Water Pump 2\" dia ( Without operator)",
,,,,,"Dry rubble packing (rubble size over 225mm) 5.0m long x 0.30m thk",
,,,,,"75mm tk. Stop planks (kumbuk ) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.",
,,,,,"Construction of 1.5m high 1:3:6 (40mm) cement concrete Retaining Wall",
,,,,,"Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)",
,,,,,"Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval",
,,,,,"Tidying up",
,,,,,"Construction of 18m long Trough (with 0.50m x 0.40m section), 3 no of 6 m long spans, 2 nos of piers (1.5 m high x 2 nos piers)",
,,,,,"Site preparation & setting out",
,,,,,"Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.",
,,,,,"Plywood form work including making, fixing & removing for structure -05 uses",
,,,,,"Cutting, Bending & Placing tor steel reinforcement bars",
,,,,,"1:3:6 (40mm) concrete with concrete mixer (volume batching)",
,,,,,"1:2:4 (20mm) concrete with concrete mixer (volume batching)",
,,,,,"Spreading, Leveling and Compacting Manually Using Standard Cast Iron Stamper or Equivalent and Filling in 150-225 mm Thick Layers (Loose Volume)",
,,,,,"Machine transport",
,,,,,"Tidying up",
,,,,,"Contingencies 10%",
"525","Kubukwela canal","7.052352","80.8871","Existing Earthen canal, some places had constructed by concrete. the anicut was Constructed by concrete","Canals reservation protection by concrete lining For 125mm thick, 0.5m wide and 0.4m high canal -double banking","2,596,000"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"525","Anicut","7.055763","80.88787","Existing Earthen canal, some places had constructed by concrete. the anicut was Constructed by concrete","Canals reservation protection by concrete lining For 125mm thick, 0.5m wide and 0.4m high canal -double banking","2,700,500"
,,,,,"75mm tk. Stop planks (kumbuk ) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.",
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"525","Morapihilla Canal","7.05522","80.88876","Existing Earthen canal, some places had constructed by concrete. the anicut was Constructed by concrete","Canals reservation protection by concrete lining For 125mm thick, 0.5m wide and 0.4m high canal -double banking","3,228,500"
,,,,,"75mm tk. Stop planks (kumbuk ) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.",
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Construction of 1.8m high 1:3:6 (40mm) cement concrete Retaining Wall",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"525","Anicut","7.055237","80.88871","Existing Earthen canal, some places had constructed by concrete. the anicut was Constructed by concrete","Canals reservation protection by concrete lining For 125mm thick, 0.5m wide and 0.4m high canal -double banking","3,228,500"
,,,,,"75mm tk. Stop planks (kumbuk ) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.",
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Construction of 1.8m high 1:3:6 (40mm) cement concrete Retaining Wall",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"523","Karuduwaththa anicut and canal","7.069934","80.90779","There is no embankment for the anicut and stones are crossed. and existing canal is a earthen canal","Site preparation & setting out","3,118,500"
,,,,,"Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.",
,,,,,"Supplying and fixing M.S. dowels spliced and dovetailed with wedge at one end 16mm dia. And 600mm long, boring holes to 0.3m depth in fixing",
,,,,,"Plywood form work including making, fixing & removing for structure -05 uses",
,,,,,"Cutting, Bending & Placing tor steel reinforcement bars",
,,,,,"1:3:6 (40mm) concrete with concrete mixer (volume batching)",
,,,,,"1:2:4 (20mm) concrete with concrete mixer (volume batching)",
,,,,,"Providing sand bags for cofferdam",
,,,,,"Water Pump 2\" dia ( Without operator)",
,,,,,"Dry rubble packing (rubble size over 225mm) 5.0m long x 0.30m thk",
,,,,,"75mm tk. Stop planks (kumbuk ) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.",
,,,,,"Construction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall",
,,,,,"Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)",
,,,,,"Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval",
,,,,,"Tidying up",
,,,,,"Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking",
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"523","Egodapitiya Canal","7.07363","80.91005","Part of the existing canal has been concreted and balance part earthen canal","Site preparation & setting out","770,000"
,,,,,"Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.",
,,,,,"Plywood form work including making, fixing & removing for structure -05 uses",
,,,,,"Cutting, Bending & Placing tor steel reinforcement bars",
,,,,,"1:3:6 (40mm) concrete with concrete mixer (volume batching)",
,,,,,"1:2:4 (20mm) concrete with concrete mixer (volume batching)",
,,,,,"Spreading, Leveling and Compacting Manually Using Standard Cast Iron Stamper or Equivalent and Filling in 150-225 mm Thick Layers (Loose Volume)",
,,,,,"Machine transport",
,,,,,"Tidying up",
,,,,,"Contingencies 10%",
"523","Numba arawa canal","7.07327","80.90876","Part of the existing canal has been concreted and balance part earthen canal","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","841,500"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"523","Heenduruarawa Anicut","7.07012","80.90769","There is no embankment and stones are crossed","Construction of Anicut","2,651,000"
,,,,,"Site preparation & setting out",
,,,,,"Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.",
,,,,,"Supplying and fixing M.S. dowels spliced and dovetailed with wedge at one end 16mm dia. And 600mm long, boring holes to 0.3m depth in fixing",
,,,,,"Plywood form work including making, fixing & removing for structure -05 uses",
,,,,,"Cutting, Bending & Placing tor steel reinforcement bars",
,,,,,"1:3:6 (40mm) concrete with concrete mixer (volume batching)",
,,,,,"1:2:4 (20mm) concrete with concrete mixer (volume batching)",
,,,,,"Providing sand bags for cofferdam",
,,,,,"Water Pump 2\" dia ( Without operator)",
,,,,,"Dry rubble packing (rubble size over 225mm) 5.0m long x 0.30m thk",
,,,,,"75mm tk. Stop planks (kumbuk ) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.",
,,,,,"Construction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall",
,,,,,"Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)",
,,,,,"Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval",
,,,,,"Tidying up",
,,,,,"Construction of 24m long Trough (with 0.50m x 0.40m section), 4 no of 6 m long spans, 3 nos of piers (2 m high x 3 nos piers + 0 m high x 0 nos piers)",
,,,,,"Site preparation & setting out",
,,,,,"Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.",
,,,,,"Plywood form work including making, fixing & removing for structure -05 uses",
,,,,,"Cutting, Bending & Placing tor steel reinforcement bars",
,,,,,"1:3:6 (40mm) concrete with concrete mixer (volume batching)",
,,,,,"1:2:4 (20mm) concrete with concrete mixer (volume batching)",
,,,,,"Spreading, Leveling and Compacting Manually Using Standard Cast Iron Stamper or Equivalent and Filling in 150-225 mm Thick Layers (Loose Volume)",
,,,,,"Machine transport",
,,,,,"Tidying up",
,,,,,"Contingencies 10%",
"523","Pallegodapitiya canal","7.06947","80.90858","Part of the existing canal has been concreted and balance part earthen canal","Site preparation & setting out","3,151,500"
,,,,,"Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.",
,,,,,"Plywood form work including making, fixing & removing for structure -05 uses",
,,,,,"Cutting, Bending & Placing tor steel reinforcement bars",
,,,,,"1:3:6 (40mm) concrete with concrete mixer (volume batching)",
,,,,,"1:2:4 (20mm) concrete with concrete mixer (volume batching)",
,,,,,"Spreading, Leveling and Compacting Manually Using Standard Cast Iron Stamper or Equivalent and Filling in 150-225 mm Thick Layers (Loose Volume)",
,,,,,"Machine transport",
,,,,,"Tidying up",
,,,,,"Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking",
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
,,,,,"Total","118,263,750"
