"Table 5.18: Total Cost Estimate for Stream Reservation Proposals","","","","","",""
"GND No","Name of the Torrent","Co ordinates","Problem","Recommendation","Estimated Cost  Rs","NA"
"497 A","Torrent in the reservation","7.171012","80.75324","Land erosion on both sides","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop","61100"
"492","Conserve the Diyathala Kanda reservation.","7.159561","80.79413","Demarcate the boundaries and planting fruit crops and other trees. (Area- 100 acres)","1. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.2. Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval","469300"
"492 B","Conservation the reservation of Gorakadanda torrent","7.151472","80.7878","Protect the Gorakadanda torrent reservation from encroaching by people. ( Area- 1 acre)","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.","366600"
"492 B","Conserve the reservation of Galkadulla spring.","7.156023","80.79136","Demarcating the boundaries and planting areca nut, Kithul, and other forest crops are needed. (the land of 1 acre has already acquired by the DS)","1. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.2. Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval","652600"
"492 B","Conservation of Dambagahapihilla reservation.","7.154117","80.79188","Demarcate the boundaries of the reservation. (Area- 0.5 acres)","1. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.2. Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval","199940"
"494 A","Develop the reservation of Katukenda Gommana (1 Acre).","7.166599","80.76511","Soil erosion of the reservation and continuing the cultivations by encroaching lands.","1. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.2. Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval","469300"
"493 A","Conserve the Diyathala Kanda reservation.","7.167521","80.78795","Currently this is a forest reservation yet occurs human-caused fires annually. (Area- 100 acres)","1. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.2. Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval","999700"
"493 A","Conserve the Elamallawa Wewa reservation (10 Acres).","7.170654","80.78421","The reservation, allocated at the community's request, is currently controlled and maintained by the Pradeshiya Sabha.(Area- 10 acres)","1. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop.2. Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval.3. Vegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval","331240"
"494 C","Construction of side walls near the Podi Manike's house","7.147925","80.77737","Soil erosion of nearby lands during the rainy days.","1. Construction of 1:3:6 (1 1/2\") ct concrete retaining wall (height 1.5m, top width 0.15m, 0.50m high)2. Vegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval.","538200"
,,,,,"Total","38,488,961"
