No.,GN Division No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,On/Off Site,N,E,Quantity,Proposed measure/s,Unit Cost (Rs.),Total Cost (Rs.),Total Sum (Rs.),"Contribution (Local Community, LA, and the project)",Time frame for the implementation
77,495,Hanguranketha,8. Constructing a retaining wall 1,1,Off,7.176305,80.779594,30 m x 2.4 m,Retaining wall,"2,000.00 m-2","144,000.00",,Labour and other basic services by the Local community,0.5 Years
78,495,Hanguranketha,9. Constructing a retaining wall 2,1,Off,7.176305,80.779594,20 m x 2.4 m,Retaining wall,"2,000.00 m-2","96,000.00","6,774,000.00",Labour and other basic services by the Local community,0.5 Years
79,496,Hapuwala,1. Renovation of natural drains - Torrent 1/Kandura,3,Off,7.164555,80.762423,6 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"600,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
80,496,Hapuwala,2. Renovation of natural drains - Dodamgolla Kandura,3,Off,7.163908,80.763525,3 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"300,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
81,496,Hapuwala,5. Soil conservation practices - Tank reserve (60°),1,On,7.169482,80.759103,0.25 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"62,500.00",,Labour and other basic services by the Local community,0.25 Years
82,496,Hapuwala,5. Soil conservation practices - Hapuwala (60°),4,On,7.168879,80.75798,80 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"20,000,000.00",,Labour and other basic services by the Local community,1 Year
83,496,Hapuwala,5. Soil conservation practices - Hapuwala (50°),3,On,7.165713,80.764899,6 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"1,500,000.00",,Labour and other basic services by the Local community,0.5 Years
84,496,Hapuwala,5. Soil conservation practices - Dodamgolla (60°),3,On,7.163908,80.763825,4 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"1,000,000.00",,Labour and other basic services by the Local community,0.25 Years
85,496,Hapuwala,5. Soil conservation practices - Reserve on both sides of the Dodamgolla Kandura (70°),1,On,7.164147,80.763918,0.4 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"100,000.00",,Labour and other basic services by the Local community,0.25 Years
86,496,Hapuwala,6. Constructing a retaining,1,Off,7.171733,80.757288,20 m x 1.8 m,Retaining wall,"2,000.00 m-2","72,000.00","              23,634,500.00  ",Labour and other basic services by the Local community,0.5 Years
87,493A,Kottala,1. Renovation of natural drains - Heen Kandura,2,Off,7.166362,80.783594,400 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"40,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
88,493A,Kottala,2. Renovation of natural drains - Kottala Kandura,1,Off,7.166432,80.785188,600 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"60,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
89,493A,Kottala,3. Renovation of natural drains - Kottala Watta Kandura,3,Off,7.167677,80.785945,500 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"50,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
90,493A,Kottala,4. Soil conservation practices - Diyathala Kanda (25°),2,On,7.167321,80.787954,20.8 ha,"Lock and spills
Stone terracing/live fencing, as applied",400.00 m-1,"8,320,000.00","8,470,000.00",Labour and other basic services by the Local community,0.5 Years
91,493,Madanwala,1. Renovation of natural drains - Bath Nawuma Kandura,3,Off,7.162464,80.780903,3 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"300,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
92,493,Madanwala,2. Renovation of natural drains - Katugashinna Kandura,4,Off,7.160395,80.778466,10 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"1,000,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
93,493,Madanwala,3. Renovation of natural drains - Walalawela Oya,2,Off,7.159968,80.778207,1.3 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"130,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
94,493,Madanwala,4. Soil conservation practices - Near Madanwala temple (65°),2,On,7.16192,80.779464,2.8 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"700,000.00",,Labour and other basic services by the Local community,0.25 Years
95,493,Madanwala,5. Soil conservation practices - Near Madanwala temple (70°),1,On,7.162225,80.778905,2.8 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"700,000.00",,Labour and other basic services by the Local community,0.25 Years
96,493,Madanwala,6. Soil conservation practices - Walalawela (85°),2,On,7.160648,80.778004,20 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"5,000,000.00",,Labour and other basic services by the Local community,0.5 Years
97,493,Madanwala,7. Constructing a retaining wall - Madanwala Rajamaha Viharaya,3,On,7.162474,80.780882,10 m x 4.5 m,Retaining wall,"2,000.00 m-2","90,000.00",,Labour and other basic services by the Local community,0.5 Years
98,493,Madanwala,8. Constructing a retaining wall - Madanwala Rajamaha Viharaya,1,On,7.162976,80.780243,20 m x 4.5 m,Retaining wall,"2,000.00 m-2","180,000.00","8,100,000.00",Labour and other basic services by the Local community,0.5 Years
