"Table 5.19: Estimates for the rehabilitation of minor irrigation in MWS-036","","","","","",""
"GND No","Name of Irrigation System","N","E","Observation","Description","Amount  LKR"
,,,,,"Repairs to the existing canal lining",
"519C","Labuwatta Canal","7.11571","80.89667","Part of the existing canal has been concreted and balance part earthen canal, Command area 6.0 acres","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","797,500"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Repairs to the existing canal lining",
"519C","Kolapagana Anicut and Canal","7.11596","80.89606","Existing Earthen Anicut and canal, Command area 10.0 acres","Construction of 0.9 m high Weir across stream excluding abutments and stop planks","3,085,500"
,,,,,"Construction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall",
,,,,,"75mm tk. Stop planks (kumbuk) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.",
,,,,,"Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking",
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
"519C","Pallewela Canal","7.11620","80.89565","Part of the existing canal has been concreted and balance part earthen canal, Command area 10.0 acres","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","797,500"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Repairs to the existing canal lining",
"519D","Amunumulla Anicut and Canal","7.105876","80.887066","Part of the existing canal has been concreted and balance part earthen canal, Command area 15.0 acres","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","797,500"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Repairs to the existing canal lining",
"519D","Puranwela Middle Canal (Thotupale Canal)/Anicut","7.104996","80.886356","75m long con. Side wall has been constructed. Balance part earthen canal, Command area 15.0 acres","1:3:6 (40mm) concrete with concrete mixer (volume batching)","957,000"
,,,,,"Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking",
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
"519D","Puranwela Middle Canal 2","7.106506","80.884706","Part of the existing canal has been concreted and balance part earthen canal, Command area 15.0 acres","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","1,155,000"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
"519D","Thanne Depala Anicut and Canal","7.105486","80.883966","The Anicut is constructed using concrete, Part of the existing canal has been concreted and balance part earthen canal, Command area 15.0 acres","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","1,193,500"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Minor repairs to Anicut",
,,,,,"Repairs to the existing canal lining",
"519D","Diyaneththa Canal/Anicut","7.11406","80.88739","Existing Earthen canal, A anicut of Construct stone and earth, Command area 10.0 acres","Construction of 0.9 m high Weir across stream excluding abutments and stop planks","1,947,000"
,,,,,"Construction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall",
,,,,,"75mm tk. Stop planks (kumbuk) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.",
,,,,,"Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking",
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
"519D","Berathumba Ella Anicut","7.107876","80.881033","There is no Anicut, Part of the existing canal has been concreted and balance part earthen canal, Command area 10.0 acres","Construction of 0.6 m high Weir across stream excluding abutments and stop planks","2,909,500"
,,,,,"Construction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall",
,,,,,"75mm tk. Stop planks (kumbuk) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.",
,,,,,"Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking",
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
"519D","Hiriliyadda Anicut and Canal","7.108646","80.880826","12m long, 300mm width concrete wall has been constructed as an Anicut, Part of the existing canal has been concreted and balance part earthen canal, Command area 15.0 acres","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","1,490,500"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Raising of existing anicut",
,,,,,"Scarifying existing rock or concrete surface",
,,,,,"Supplying and fixing M.S. dowels spliced and dovetailed with wedge at one end 16mm dia. And 600mm long, boring holes to 0.3m depth in fixing",
,,,,,"Plywood form work including making, fixing & removing for structure -05 uses",
,,,,,"1:3:6 (40mm) concrete with concrete mixer (volume batching)",
"519D","Kammalwatta Canal/Anicut","7.105386","80.885526","Existing Earthen canal, A anicut of Construct stone and earth, Command area 10.0 acres","Construction of Anicut","1,947,000"
,,,,,"Construction of 0.9 m high Weir across stream excluding abutments and stop planks",
,,,,,"Construction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall",
,,,,,"75mm tk. Stop planks (kumbuk) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.",
,,,,,"Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking",
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
"519D","Pallekumbura Canal/Anicut","7.106146","80.882666","Existing Earthen canal, A anicut of Construct stone and earth, Command area 15.0 acres","Construction of Anicut","2,475,000"
,,,,,"Construction of 0.9 m high Weir across stream excluding abutments and stop planks",
,,,,,"Construction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall",
,,,,,"75mm tk. Stop planks (kumbuk) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.",
,,,,,"Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking",
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
"519D","Kosgolla Kandura Anicut","7.113956","80.882456","Existing Earthen canal, A anicut of Construct stone and earth, Command area 80 acres","Construction of Anicut","2,035,000"
,,,,,"Construction of 0.9 m high Weir across stream excluding abutments and stop planks",
,,,,,"Construction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall",
,,,,,"75mm tk. Stop planks (kumbuk) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.",
,,,,,"Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking",
"519D","Palle Mankada Anicut and Canal","7.115796","80.889935","8m long, 450mm width concrete wall has been constructed as an Anicut, Part of the existing canal has been concreted and balance part earthen canal, Command area 15.0 acres","Raising of existing Anicut","1,501,500"
,,,,,"Scarifying existing rock or concrete surface",
,,,,,"Supplying and fixing M.S. dowels spliced and dovetailed with wedge at one end 16mm dia. And 600mm long, boring holes to 0.3m depth in fixing",
,,,,,"Plywood form work including making, fixing & removing for structure -05 uses",
,,,,,"1:3:6 (40mm) concrete with concrete mixer (volume batching)",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking",
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
"519G","Atikehellanda Anicut and Canal","7.10732","80.8938","The Anicut is constructed using concrete, Part of the existing canal has been concreted and balance part earthen canal, Command area 52.0 acres","75mm tk. Stop planks (Kumbuk) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.","4,394,500"
,,,,,"Canals reservation protection by concrete lining For 125mm thick, 0.5m wide and 0.4m high canal -double banking",
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
"519G","Ellekumbura Canal","7.10772","80.89698","Part of the existing canal has been concreted and balance part earthen canal, Command area 15.0 acres","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","1,501,500"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
"524E","Amunumulla Anicut","7.08323","80.89297","The Anicut is constructed using concrete, Part of the existing canal has been concreted and balance part earthen canal, Command area 19.0 acres","Construction of Anicut","803,000"
,,,,,"Construction of 0.6 m high Weir across stream excluding abutments and stop planks",
,,,,,"Construction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall",
,,,,,"75mm tk. Stop planks (kumbuk) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.",
,,,,,"Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
"524E","Amunumulla Canal","7.08374","80.89195","The Anicut is constructed using concrete, Part of the existing canal has been concreted and balance part earthen canal, Command area 19.0 acres","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","1,952,500"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
"524E","Palawattakandura Anicut","7.08429","80.89532","The Anicut is constructed using concrete, Part of the existing canal has been concreted and balance part earthen canal","75mm tk. Stop planks (Kumbuk) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.","27,500"
"524E","Palawattakandura Canal","7.08316","80.89495","The Anicut is constructed using concrete, Part of the existing canal has been concreted and balance part earthen canal","Canals reservation protection by concrete lining For 125mm thick, 0.5m wide and 0.4m high canal -double banking","715,000"
,,,,,"Total","123,349,600"
